question_number,points,variation_label,prompt,choice_1,choice_2,choice_3,choice_4,choice_5,correct,pin_last
1,1,A,What is the type of `3 / 1` in Python 3?,`int`,`float`,`str`,`bool`,None of the above,2,5
1,1,B,What is the type of `3 // 1`?,`int`,`float`,`str`,`bool`,None of the above,1,5
1,1,C,What is the type of `3 == 1`?,`int`,`float`,`str`,`bool`,None of the above,4,5
2,1,A,What does `int('7') + 1` evaluate to?,`8`,`'71'`,`71`,`TypeError`,`ValueError`,1,
2,1,B,What does `'7' + 1` evaluate to?,`8`,`'71'`,`71`,`TypeError`,`ValueError`,4,
2,1,C,What does `'7' * 2` evaluate to?,`14`,`'77'`,`'7 7'`,`TypeError`,`ValueError`,2,
3,1,A,What does `float('3.5')` return?,`3.5`,`'3.5'`,`3`,`ValueError`,`TypeError`,1,
3,1,B,What does `int('3.5')` return?,`3.5`,`3`,`4`,`ValueError`,`TypeError`,4,
4,1,A,Which of these is a valid Python variable name?,`2nd_place`,`second place`,`second_place`,`class`,`second-place`,3,
4,1,B,Which of these is **not** a valid Python variable name?,`_total`,`total2`,`Total`,`2total`,`tOtAl`,4,
5,1,A,What does `type(None)` report?,`<class 'NoneType'>`,`<class 'null'>`,`<class 'bool'>`,`<class 'str'>`,`TypeError`,1,
5,1,B,What does `bool(None)` evaluate to?,`True`,`False`,`None`,`0`,`TypeError`,2,
6,1,A,What does `7 // 2` evaluate to?,`3`,`3.5`,`4`,`1`,`TypeError`,1,
6,1,B,What does `7 % 2` evaluate to?,`0`,`1`,`3`,`3.5`,`TypeError`,2,
6,1,C,What does `7 / 2` evaluate to?,`3`,`3.5`,`4`,`1`,`TypeError`,2,
7,1,A,What does `-7 // 2` evaluate to?,`-3`,`-4`,`-3.5`,`3`,`4`,2,
7,1,B,What does `-7 % 3` evaluate to?,`-1`,`1`,`2`,`-2`,`0`,3,
8,1,A,What does `2 ** 3 ** 2` evaluate to?,`64`,`512`,`12`,`36`,`TypeError`,2,
8,1,B,What does `(2 ** 3) ** 2` evaluate to?,`64`,`512`,`12`,`36`,`TypeError`,1,
9,1,A,Which expression evaluates to `True`?,`1 == '1'`,`bool([])`,"`3 in [1, 2, 3]`",`None > 0`,All of the above,3,5
9,1,B,Which expression evaluates to `False`?,`bool('0')`,`bool([])`,"`1 in [1, 2]`",`2 == 2.0`,All of the above,2,5
10,1,A,What does `True and False or True` evaluate to?,`True`,`False`,`None`,`SyntaxError`,None of the above,1,5
10,1,B,What does `not (True and False)` evaluate to?,`True`,`False`,`None`,`SyntaxError`,None of the above,1,5
11,1,A,What does `3 < 5 < 4` evaluate to?,`True`,`False`,`SyntaxError`,`TypeError`,None of the above,2,5
11,1,B,What does `1 < 2 < 3` evaluate to?,`True`,`False`,`SyntaxError`,`TypeError`,None of the above,1,5
12,1,A,What does `5 if 0 else 6` evaluate to?,`5`,`6`,`0`,`True`,`SyntaxError`,2,
12,1,B,What does `5 if 1 else 6` evaluate to?,`5`,`6`,`0`,`True`,`SyntaxError`,1,
13,1,A,What does `'computing'[0:4]` evaluate to?,`'comp'`,`'compu'`,`'omp'`,`'c'`,`IndexError`,1,
13,1,B,What does `'computing'[-3:]` evaluate to?,`'ing'`,`'ting'`,`'ng'`,`'comput'`,`IndexError`,1,
13,1,C,What does `'computing'[::2]` evaluate to?,`'cmuig'`,`'optn'`,`'computing'`,`'gnitupmoc'`,`TypeError`,1,
14,1,A,What does `'abc'[::-1]` evaluate to?,`'cba'`,`'abc'`,`'a'`,`''`,`IndexError`,1,
14,1,B,What does `'abc'[3]` evaluate to?,`'c'`,`''`,`None`,`IndexError`,`KeyError`,4,
15,1,A,What does `len('CS 1301')` return?,`6`,`7`,`8`,`4`,None of the above,2,5
15,1,B,What does `len('')` return?,`0`,`1`,`None`,`TypeError`,None of the above,1,5
16,1,A,What does `'Hello'.upper()` return?,`'HELLO'`,`'hello'`,`'Hello'`,`None`,`TypeError`,1,
16,1,B,What does `'Hello'.lower()` return?,`'HELLO'`,`'hello'`,`'Hello'`,`None`,`TypeError`,2,
17,1,A,"What does `'a,b,c'.split(',')` return?","`['a', 'b', 'c']`",`'abc'`,"`('a', 'b', 'c')`","`['a,b,c']`",`TypeError`,1,
17,1,B,"What does `'-'.join(['a', 'b'])` return?",`'a-b'`,`'ab'`,"`['a', '-', 'b']`",`'a - b'`,`TypeError`,1,
18,1,A,What does `'  hi  '.strip()` return?,`'hi'`,`'  hi'`,`'hi  '`,`'hi'` with the spaces kept,`None`,1,
18,1,B,"What does `'banana'.replace('a', 'o')` return?",`'bonono'`,`'bonana'`,`'banana'`,`'onnn'`,`None`,1,
19,1,A,What does `'cat' in 'concatenate'` evaluate to?,`True`,`False`,`3`,`TypeError`,None of the above,1,5
19,1,B,What does `'dog' in 'concatenate'` evaluate to?,`True`,`False`,`-1`,`TypeError`,None of the above,2,5
20,1,A,"What does the following print?

```python
xs = [1, 2, 3]
print(len(xs))
```",`1`,`2`,`3`,`TypeError`,None of the above,3,5
20,1,B,"What does the following print?

```python
xs = [4, 5]
print(len(xs))
```",`1`,`2`,`3`,`TypeError`,None of the above,2,5
20,1,C,"What does the following print?

```python
xs = []
print(len(xs))
```",`0`,`1`,`None`,`TypeError`,None of the above,1,5
21,1,A,"What does the following print?

```python
a = [1, 2]
b = a
b.append(3)
print(len(a))
```",`1`,`2`,`3`,`4`,`TypeError`,3,
21,1,B,"What does the following print?

```python
a = [1, 2]
b = a[:]
b.append(3)
print(len(a))
```",`1`,`2`,`3`,`4`,`TypeError`,2,
22,1,A,"What does `[1, 2] + [3]` evaluate to?","`[1, 2, 3]`","`[1, 2, [3]]`","`[4, 2]`",`TypeError`,None of the above,1,5
